room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9493951,15583990,Private room,,Dorchester,24,4.5,4,1.0,88.0,1.0,42.289048,-71.06321,2016-06-18 10:22:59.754006
8249201,43502861,Entire home/apt,,Fenway,1,,1,0.0,90.0,3.0,42.340921,-71.097151,2016-06-18 10:22:19.502233
13114159,47283683,Shared room,,Fenway,6,4.0,2,1.0,79.0,1.0,42.348136,-71.092936,2016-06-18 10:22:01.231697
11948017,1426567,Shared room,,Roxbury,0,,2,1.0,99.0,1.0,42.297116,-71.092483,2016-06-18 10:21:41.547942
12667158,66050182,Entire home/apt,,Mission Hill,0,,4,2.0,100.0,1.0,42.330082,-71.103101,2016-06-18 10:21:02.078999
10127270,50345300,Private room,,Hyde Park,0,,1,1.0,45.0,1.0,42.244682,-71.121893,2016-06-18 10:19:16.249301
13329626,9700138,Entire home/apt,,Allston,1,,4,1.0,142.0,1.0,42.365753,-71.119349,2016-06-18 10:18:35.273439
1550047,1444340,Entire home/apt,,Roxbury,54,4.5,7,3.0,330.0,2.0,42.338328,-71.081325,2016-06-18 10:17:01.361549
4294835,9189449,Private room,,Allston,42,4.5,2,1.0,59.0,1.0,42.350217,-71.143522,2016-06-18 10:16:57.287158
7855120,1444340,Entire home/apt,,South Boston,10,4.5,4,1.0,220.0,3.0,42.343162,-71.055681,2016-06-18 10:14:39.503320
8410270,33688127,Entire home/apt,,Back Bay,1,,2,1.0,160.0,7.0,42.345299,-71.085642,2016-06-18 10:14:14.687046
13100828,8739837,Entire home/apt,,East Boston,5,5.0,3,1.0,125.0,1.0,42.369137,-71.040944,2016-06-18 10:14:00.126858
12831151,15102445,Shared room,,Jamaica Plain,4,3.5,4,1.0,130.0,3.0,42.320387,-71.103456,2016-06-18 10:13:34.920175
1136972,1480518,Private room,,Jamaica Plain,251,5.0,2,1.0,60.0,1.0,42.294442,-71.119945,2016-06-18 10:13:07.233192
2183058,11132080,Entire home/apt,,North End,65,5.0,4,1.0,175.0,4.0,42.364293,-71.054521,2016-06-18 10:12:52.868089
2583074,13226301,Private room,,Roslindale,23,5.0,1,1.0,40.0,2.0,42.279648,-71.136059,2016-06-18 10:12:45.022334
5269216,1444340,Entire home/apt,,Roxbury,40,4.5,6,3.0,300.0,2.0,42.337672,-71.080338,2016-06-18 10:12:29.328961
12628940,68572323,Entire home/apt,,Allston,0,,4,2.0,200.0,1.0,42.362599,-71.130653,2016-06-18 10:11:30.263203
4453153,14364920,Entire home/apt,,Beacon Hill,9,4.5,4,2.0,250.0,1.0,42.359498,-71.067055,2016-06-18 10:11:27.655137
3987926,1480518,Private room,,Jamaica Plain,154,5.0,2,1.0,60.0,1.0,42.295587,-71.119416,2016-06-18 10:11:19.203734
2764624,6103425,Private room,,Dorchester,89,4.5,4,1.0,88.0,1.0,42.30301,-71.063549,2016-06-18 10:11:14.624045
9060132,41282500,Entire home/apt,,Fenway,6,4.5,2,1.0,95.0,1.0,42.347544,-71.103863,2016-06-18 10:10:59.193655
322593,1651480,Entire home/apt,,South End,185,4.5,2,1.0,183.0,3.0,42.343488,-71.076802,2016-06-18 10:10:31.572365
10411383,44617326,Entire home/apt,,East Boston,1,,5,2.0,250.0,1.0,42.376947,-71.03023,2016-06-18 10:09:12.523529
4107959,10136526,Private room,,East Boston,51,5.0,2,1.0,119.0,1.0,42.369492,-71.036593,2016-06-18 10:08:49.466368
11336922,59334069,Private room,,Downtown,0,,4,1.0,250.0,1.0,42.358647,-71.05439,2016-06-18 10:08:13.738513
8402408,44162105,Private room,,Roxbury,30,5.0,2,1.0,80.0,1.0,42.336908,-71.077477,2016-06-18 10:08:11.227179
8272350,37835016,Private room,,Jamaica Plain,2,,2,1.0,99.0,2.0,42.320044,-71.107844,2016-06-18 10:07:50.206706
973695,1760577,Entire home/apt,,Downtown,37,4.5,4,1.0,250.0,10.0,42.359291,-71.060863,2016-06-18 10:07:13.730309
5659866,280497,Entire home/apt,,Beacon Hill,4,5.0,4,2.0,200.0,1.0,42.357816,-71.066659,2016-06-18 10:06:47.296088
13434817,43450256,Entire home/apt,,Fenway,1,,4,2.0,200.0,,42.348618,-71.092202,2016-06-18 10:06:40.698421
5940069,8479265,Entire home/apt,,Roxbury,17,4.5,6,2.0,370.0,1.0,42.338517,-71.079497,2016-06-18 10:06:28.725919
9878725,17892292,Private room,,Allston,0,,2,1.0,40.0,1.0,42.36031,-71.134113,2016-06-18 10:06:18.288998
8165898,30283594,Entire home/apt,,Fenway,2,,5,2.0,399.0,3.0,42.343376,-71.101278,2016-06-18 10:05:41.738297
12948018,21595891,Private room,,Fenway,8,4.0,3,1.0,75.0,1.0,42.342394,-71.088293,2016-06-18 10:05:12.053836
12586305,34832265,Private room,,Dorchester,0,,2,1.0,70.0,1.0,42.281749,-71.085868,2016-06-18 10:03:46.747005
4098410,11487565,Private room,,Jamaica Plain,16,4.0,2,1.0,89.0,2.0,42.305088,-71.107358,2016-06-18 10:03:04.095431
8515356,26956083,Private room,,Brighton,6,5.0,2,1.0,89.0,2.0,42.358659,-71.141334,2016-06-18 10:02:52.317321
9736673,44375389,Entire home/apt,,Beacon Hill,3,5.0,3,1.0,159.0,1.0,42.361145,-71.064327,2016-06-18 10:02:32.150224
4369675,22683865,Private room,,Brighton,0,,1,1.0,195.0,1.0,42.34455,-71.145004,2016-06-18 10:02:02.226554
5891012,19180140,Shared room,,Dorchester,4,5.0,1,1.0,60.0,1.0,42.319046,-71.057975,2016-06-18 10:01:50.961548
13443949,63906798,Private room,,Dorchester,0,,3,1.0,65.0,1.0,42.316734,-71.053378,2016-06-18 10:01:30.995030
2560413,9770603,Entire home/apt,,Fenway,23,4.5,2,0.0,135.0,3.0,42.340838,-71.096519,2016-06-18 10:00:50.910594
2871079,14674644,Entire home/apt,,Dorchester,0,,2,1.0,250.0,1.0,42.31946,-71.056399,2016-06-18 10:00:43.637922
4025194,1480518,Private room,,Jamaica Plain,141,5.0,2,1.0,75.0,1.0,42.295723,-71.119421,2016-06-18 10:00:40.831964
4607307,23873896,Private room,,South Boston,0,,2,1.0,99.0,1.0,42.33046,-71.042914,2016-06-18 10:00:03.259383
6574771,16881770,Private room,,Dorchester,12,5.0,1,1.0,45.0,3.0,42.323962,-71.058513,2016-06-18 09:59:37.812163
9058863,35423230,Private room,,Allston,0,,1,1.0,70.0,1.0,42.356755,-71.137457,2016-06-18 09:59:26.851911
4553903,10850877,Entire home/apt,,North End,122,5.0,3,1.0,125.0,1.0,42.365619,-71.056977,2016-06-18 09:58:59.094763
11669363,8329710,Private room,,Dorchester,6,4.5,2,1.0,80.0,1.0,42.32188,-71.043915,2016-06-18 09:58:51.023413
13020409,68929950,Entire home/apt,,Charlestown,0,,4,2.0,110.0,1.0,42.385146,-71.07703,2016-06-18 09:57:54.214521
6990023,22500410,Private room,,Mission Hill,18,4.5,2,1.0,88.0,1.0,42.329392,-71.109814,2016-06-18 09:57:21.359016
12344760,66654235,Private room,,Mission Hill,7,4.5,1,1.0,72.0,,42.328574,-71.10644,2016-06-18 09:56:41.323316
6741968,28662502,Entire home/apt,,Downtown,63,5.0,4,1.0,229.0,,42.357307,-71.061786,2016-06-18 09:56:05.129432
12515067,3073029,Entire home/apt,,South Boston,2,,2,1.0,190.0,3.0,42.336937,-71.050703,2016-06-18 09:55:44.893696
1147871,1407005,Private room,,East Boston,205,4.5,2,1.0,95.0,1.0,42.377612,-71.035198,2016-06-18 09:55:30.612738
10335742,17385849,Shared room,,Fenway,3,3.5,4,1.0,75.0,1.0,42.340723,-71.090634,2016-06-18 09:55:14.773175
7219391,25188,Entire home/apt,,Fenway,2,,2,1.0,229.0,5.0,42.343048,-71.087433,2016-06-18 09:55:04.484015
2295530,11725202,Private room,,Jamaica Plain,104,5.0,3,1.0,99.0,2.0,42.317786,-71.105136,2016-06-18 09:54:07.838280
13490438,50646598,Private room,,Brighton,0,,1,1.0,55.0,1.0,42.356617,-71.138476,2016-06-18 09:54:02.162036
1173306,4729990,Private room,,Mattapan,23,4.5,2,1.0,75.0,1.0,42.271763,-71.071447,2016-06-18 09:53:35.847662
8814479,4962900,Entire home/apt,,West End,2,,5,2.0,146.0,,42.362707,-71.065473,2016-06-18 09:52:10.422555
11863590,44013653,Entire home/apt,,South Boston Waterfront,1,,4,1.0,249.0,1.0,42.347727,-71.038108,2016-06-18 09:51:54.746143
5004278,4225430,Entire home/apt,,South Boston,20,5.0,2,1.0,175.0,2.0,42.33674,-71.042122,2016-06-18 09:50:48.297501
646087,3236611,Private room,,South Boston,0,,2,1.0,150.0,1.0,42.334775,-71.049954,2016-06-18 09:50:40.253272
6990904,16337422,Private room,,Jamaica Plain,18,5.0,2,1.0,73.0,1.0,42.315301,-71.099768,2016-06-18 09:49:28.264934
23619,93112,Entire home/apt,,Beacon Hill,114,4.5,2,,160.0,4.0,42.35846,-71.06327,2016-06-18 09:49:24.602097
12384469,10757098,Entire home/apt,,South End,0,,2,1.0,150.0,7.0,42.336519,-71.069699,2016-06-18 09:48:16.148850
4868653,4472902,Private room,,East Boston,10,4.5,1,1.0,95.0,3.0,42.380714,-71.033006,2016-06-18 09:48:07.624133
11980767,5241671,Entire home/apt,,Back Bay,2,,4,0.0,160.0,3.0,42.351286,-71.088657,2016-06-18 09:47:10.407799
8828147,3958442,Shared room,,South Boston,0,,1,1.0,159.0,1.0,42.341526,-71.055594,2016-06-18 09:47:04.951117
6017574,31235595,Entire home/apt,,Back Bay,10,5.0,4,2.0,425.0,12.0,42.350477,-71.085779,2016-06-18 09:47:02.756750
9636218,48691372,Private room,,Dorchester,0,,2,1.0,50.0,1.0,42.31765,-71.039146,2016-06-18 09:46:04.098512
13081347,41932249,Private room,,Mission Hill,1,,1,1.0,56.0,1.0,42.33161,-71.111376,2016-06-18 09:45:48.458498
3522237,17736943,Private room,,Dorchester,2,,2,1.0,45.0,3.0,42.30629,-71.082711,2016-06-18 09:45:26.984174
4085362,3164508,Private room,,Roslindale,14,5.0,2,1.0,75.0,1.0,42.281749,-71.140318,2016-06-18 09:45:13.093395
11411325,59082726,Private room,,North End,6,4.0,2,1.0,100.0,1.0,42.362954,-71.052938,2016-06-18 09:44:52.848156
7620413,38708629,Entire home/apt,,South End,2,,2,1.0,200.0,14.0,42.341409,-71.081731,2016-06-18 09:43:04.385637
6444138,9419684,Entire home/apt,,Fenway,2,,5,2.0,350.0,3.0,42.343543,-71.098486,2016-06-18 09:42:56.999927
10945407,51354463,Entire home/apt,,East Boston,4,4.5,8,4.0,230.0,3.0,42.389682,-71.004714,2016-06-18 09:41:57.734145
7476936,5366301,Private room,,Dorchester,3,4.5,2,1.0,100.0,1.0,42.31676,-71.041056,2016-06-18 09:41:45.440125
9209711,47898569,Entire home/apt,,South End,0,,2,1.0,190.0,3.0,42.337774,-71.070631,2016-06-18 09:41:38.395984
2174711,5618949,Entire home/apt,,Longwood Medical Area,96,4.5,4,0.0,149.0,,42.339383,-71.100172,2016-06-18 09:41:10.307045
8252058,42838239,Private room,,East Boston,59,5.0,2,1.0,80.0,1.0,42.37208,-71.031983,2016-06-18 09:41:06.077606
1864705,9419684,Entire home/apt,,Fenway,9,4.0,5,2.0,350.0,3.0,42.343396,-71.101059,2016-06-18 09:40:47.453117
12621291,3715298,Entire home/apt,,Back Bay,3,5.0,3,0.0,199.0,2.0,42.35299,-71.078119,2016-06-18 09:40:30.262471
12602970,58766119,Entire home/apt,,North End,2,,2,1.0,95.0,1.0,42.366794,-71.054404,2016-06-18 09:40:20.063454
13221129,30283594,Entire home/apt,,South Boston Waterfront,0,,3,1.0,189.0,3.0,42.353311,-71.046001,2016-06-18 09:40:10.857772
8067585,27756951,Private room,,Jamaica Plain,8,5.0,2,1.0,83.0,2.0,42.305126,-71.114233,2016-06-18 09:39:39.732114
8454985,15151322,Entire home/apt,,Charlestown,5,5.0,3,2.0,225.0,2.0,42.376634,-71.052379,2016-06-18 09:39:27.219517
8338792,29066313,Private room,,Brighton,0,,2,1.0,85.0,1.0,42.34011,-71.149591,2016-06-18 09:39:04.393543
11861063,63222351,Private room,,Mission Hill,4,4.5,3,1.0,70.0,1.0,42.328165,-71.105695,2016-06-18 09:38:57.543448
826706,1997048,Private room,,Dorchester,7,3.5,2,1.0,72.0,3.0,42.299964,-71.080604,2016-06-18 09:38:52.705709
7735518,26956083,Private room,,Brighton,1,,4,1.0,189.0,2.0,42.360446,-71.141642,2016-06-18 09:38:24.972117
400067,1997048,Private room,,Dorchester,20,4.5,1,1.0,56.0,3.0,42.300883,-71.081897,2016-06-18 09:38:10.066622
3839678,5776160,Private room,,Mattapan,10,4.0,1,1.0,50.0,1.0,42.270096,-71.088307,2016-06-18 09:37:45.703102
533152,71783,Entire home/apt,,Dorchester,9,4.5,4,2.0,125.0,,42.321889,-71.061829,2016-06-18 09:37:22.059677
5455004,4962900,Entire home/apt,,Back Bay,21,4.5,5,2.0,232.0,,42.345191,-71.079394,2016-06-18 09:37:08.968613
4860853,814298,Entire home/apt,,South End,21,4.0,2,0.0,225.0,2.0,42.341133,-71.080011,2016-06-18 09:36:45.119017
205894,119019,Private room,,Dorchester,114,4.5,2,1.0,65.0,2.0,42.298491,-71.058802,2016-06-18 09:36:01.176773
