room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6843795,23249169,Entire home/apt,,Fenway,16,5.0,2.0,1.0,185.0,2.0,42.344051,-71.095154,2016-03-18 18:57:42.533238
7277653,30172860,Private room,,Allston,30,5.0,2.0,1.0,75.0,1.0,42.363177,-71.133641,2016-03-18 18:57:25.284745
6160803,13124709,Entire home/apt,,Dorchester,31,4.5,,5.0,225.0,1.0,42.296213,-71.054548,2016-03-18 18:57:16.697814
9770477,17194624,Entire home/apt,,Fenway,1,4.0,2.0,0.0,99.0,2.0,42.350479,-71.093757,2016-03-18 18:57:07.657218
8152796,40314351,Private room,,Fenway,0,,1.0,1.0,80.0,1.0,42.343241,-71.086783,2016-03-18 18:56:54.181563
5280183,4195134,Entire home/apt,,Back Bay,2,4.5,2.0,0.0,99.0,5.0,42.355305,-71.079535,2016-03-18 18:56:42.817459
10850420,14847079,Entire home/apt,,South Boston Waterfront,3,5.0,2.0,0.0,160.0,2.0,42.351504,-71.045689,2016-03-18 18:56:36.682104
9273,4804,Entire home/apt,,East Boston,11,5.0,4.0,2.0,225.0,3.0,42.364608,-71.029021,2016-03-18 18:56:21.132154
7513906,22348222,Entire home/apt,,West Roxbury,1,5.0,2.0,0.0,137.0,7.0,42.280096,-71.160763,2016-03-18 18:55:54.459265
8716590,21184200,Entire home/apt,,Back Bay,7,4.0,,3.0,199.0,2.0,42.348841,-71.087722,2016-03-18 18:55:52.215685
5412487,246083,Entire home/apt,,Jamaica Plain,1,,4.0,2.0,160.0,5.0,42.327409,-71.109637,2016-03-18 18:55:48.538395
5364137,23777641,Entire home/apt,,East Boston,32,4.5,2.0,0.0,70.0,21.0,42.386187,-71.00462,2016-03-18 18:55:45.249227
200265,847253,Private room,,Dorchester,102,4.5,3.0,1.0,79.0,2.0,42.293626,-71.066521,2016-03-18 18:55:42.564543
8171657,31040010,Entire home/apt,,Beacon Hill,7,4.5,2.0,1.0,149.0,2.0,42.360957,-71.069643,2016-03-18 18:54:14.287505
1171578,3765817,Private room,,Brighton,83,5.0,2.0,1.0,99.0,1.0,42.35384,-71.167947,2016-03-18 18:53:46.845443
4369675,22683865,Private room,,Brighton,0,,1.0,1.0,195.0,1.0,42.34455,-71.145004,2016-03-18 18:52:46.905356
