room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7275108,892781.0,Entire home/apt,,South End,3,5.0,,2.0,380.0,2.0,42.343598,-71.071908,2016-01-16 14:20:07.808024
613719,970426.0,Entire home/apt,,Beacon Hill,12,4.5,4.0,1.0,180.0,7.0,42.358973,-71.067036,2016-01-16 14:20:01.317710
1724900,7723912.0,Entire home/apt,,Roslindale,18,4.5,4.0,2.0,146.0,5.0,42.282905,-71.132677,2016-01-16 14:19:51.321258
3727560,19036819.0,Private room,,Roxbury,76,4.5,2.0,1.0,70.0,2.0,42.329231,-71.079758,2016-01-16 14:19:41.577866
8309604,4127253.0,Entire home/apt,,Back Bay,1,5.0,4.0,2.0,290.0,2.0,42.348327,-71.073732,2016-01-16 14:19:26.414634
8761060,45942466.0,Private room,,Mattapan,0,,3.0,1.0,100.0,1.0,42.276161,-71.075306,2016-01-16 14:19:17.299072
5882411,18807469.0,Private room,,Jamaica Plain,67,5.0,2.0,1.0,70.0,1.0,42.298471,-71.110658,2016-01-16 14:19:02.144867
7694365,22348222.0,Entire home/apt,,South End,0,,2.0,0.0,130.0,7.0,42.344025,-71.077165,2016-01-16 14:18:48.872366
8129715,892781.0,Private room,,South End,3,5.0,3.0,1.0,199.0,2.0,42.34316,-71.071283,2016-01-16 14:18:23.087278
9857,25188.0,Entire home/apt,,Beacon Hill,18,4.5,4.0,2.0,342.0,2.0,42.356271,-71.074377,2016-01-16 14:18:20.871806
7420789,17177989.0,Shared room,,Brighton,13,5.0,1.0,1.0,45.0,2.0,42.358245,-71.153068,2016-01-16 14:18:17.062932
5146451,9663343.0,Private room,,Roxbury,29,4.5,2.0,1.0,50.0,1.0,42.326309,-71.083187,2016-01-16 14:18:11.349882
6238463,31691830.0,Private room,,Jamaica Plain,7,5.0,2.0,1.0,90.0,2.0,42.315904,-71.114048,2016-01-16 14:17:52.380991
9155990,46222857.0,Shared room,,Allston,0,,1.0,1.0,60.0,1.0,42.3594,-71.129298,2016-01-16 14:17:17.599599
