room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3353,4240,Private room,,Allston,20,4.0,1,1.0,49.0,7,42.355017,-71.12759,2015-01-18 20:46:50.646
5453,8021,Private room,,Jamaica Plain,53,5.0,2,1.0,185.0,1,42.322109,-71.109265,2015-01-18 22:15:41.450
5506,8229,Private room,,Roxbury,30,4.5,2,1.0,179.0,3,42.329809,-71.095595,2015-01-18 22:54:05.218
6695,8229,Entire home/apt,,Roxbury,41,5.0,4,1.0,241.0,3,42.329941,-71.093505,2015-01-18 21:04:21.199
6976,16701,Private room,,Roslindale,27,5.0,2,1.0,98.0,2,42.292438,-71.135765,2015-01-18 22:06:19.915
8789,26988,Entire home/apt,,Downtown,5,4.5,2,1.0,191.0,5,42.359187,-71.062651,2015-01-18 22:21:42.741
8792,26988,Entire home/apt,,Downtown,11,4.5,3,1.0,173.0,5,42.358596,-71.061446,2015-01-18 22:23:48.761
9273,4804,Entire home/apt,,East Boston,8,5.0,4,2.0,278.0,3,42.364608,-71.029021,2015-01-18 22:00:59.265
9765,25188,Entire home/apt,,South End,6,4.5,2,,346.0,3,42.342594,-71.079421,2015-01-18 21:03:09.411
9824,25188,Entire home/apt,,Back Bay,18,4.0,2,,230.0,2,42.349496,-71.085954,2015-01-18 22:29:37.255
9827,25188,Entire home/apt,,Downtown,8,4.5,3,1.0,357.0,3,42.352838,-71.063167,2015-01-18 22:31:24.579
9855,25188,Entire home/apt,,Fenway,3,4.5,3,1.0,315.0,4,42.343371,-71.098708,2015-01-18 22:51:36.628
9857,25188,Entire home/apt,,Beacon Hill,11,4.0,4,2.0,488.0,2,42.356271,-71.074377,2015-01-18 22:53:09.667
9858,25188,Entire home/apt,,Back Bay,0,,5,2.0,554.0,2,42.344471,-71.081786,2015-01-18 22:54:09.343
9860,25188,Entire home/apt,,Beacon Hill,14,4.0,2,1.0,283.0,2,42.356071,-71.072691,2015-01-18 22:55:55.012
9870,25188,Entire home/apt,,South End,4,4.0,2,1.0,295.0,2,42.344227,-71.077878,2015-01-18 23:06:47.020
9903,25188,Entire home/apt,,Mission Hill,0,,2,1.0,320.0,3,42.335296,-71.101462,2015-01-18 23:27:08.806
10730,26988,Entire home/apt,,Downtown,14,4.5,3,1.0,204.0,5,42.358403,-71.06185,2015-01-19 00:02:35.053
10758,38440,Private room,,Allston,1,2.0,1,1.0,142.0,1,42.353449,-71.131797,2015-01-18 20:34:10.250
10807,38440,Private room,,Allston,1,3.0,2,1.0,99.0,1,42.354123,-71.130486,2015-01-18 21:59:17.928
10809,38440,Private room,,Allston,3,4.0,4,1.0,123.0,1,42.354788,-71.132088,2015-01-18 22:01:02.284
10810,38440,Private room,,Allston,0,,2,1.0,105.0,4,42.353359,-71.130344,2015-01-18 22:01:37.314
12356,26988,Entire home/apt,,Beacon Hill,2,4.5,3,1.0,228.0,5,42.358988,-71.063247,2015-01-18 22:09:10.811
12441,25188,Entire home/apt,,Beacon Hill,14,4.0,6,3.0,604.0,3,42.355165,-71.072211,2015-01-18 23:14:01.955
13059,50866,Entire home/apt,,North End,10,4.5,10,3.0,463.0,2,42.363982,-71.050309,2015-01-18 20:32:25.498
13247,51637,Entire home/apt,,Back Bay,0,,1,0.0,259.0,7,42.351641,-71.087523,2015-01-18 23:36:32.491
13589,25188,Entire home/apt,,Beacon Hill,24,4.0,6,3.0,557.0,2,42.355804,-71.072751,2015-01-18 20:44:13.006
13592,25188,Entire home/apt,,Beacon Hill,11,3.5,4,2.0,480.0,2,42.355887,-71.072179,2015-01-18 20:46:14.441
18711,71783,Entire home/apt,,Dorchester,15,4.5,6,3.0,156.0,6,42.323286,-71.062103,2015-01-18 20:45:42.543
21337,25188,Entire home/apt,,Back Bay,10,4.5,4,2.0,431.0,4,42.346425,-71.07827,2015-01-18 22:24:50.740
21891,25188,Entire home/apt,,Downtown,18,4.5,4,2.0,431.0,3,42.352179,-71.06316,2015-01-18 22:55:10.496
