room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1959873,10127577,Entire home/apt,,North End,0,,4,2.0,200.0,3.0,42.365392,-71.057693,2016-04-14 19:28:49.900244
10033710,30283594,Entire home/apt,,Chinatown,0,,3,1.0,349.0,15.0,42.350949,-71.061114,2016-04-14 19:28:34.992216
1587540,2004732,Entire home/apt,,Charlestown,20,5.0,4,3.0,299.0,2.0,42.378898,-71.061182,2016-04-14 19:28:24.668749
22212,25188,Entire home/apt,,Back Bay,22,4.0,5,2.0,285.0,2.0,42.349954,-71.086602,2016-04-14 19:28:21.647216
52423,25188,Entire home/apt,,Fenway,4,4.5,4,2.0,309.0,4.0,42.343922,-71.097201,2016-04-14 19:28:14.698436
9710999,34332489,Private room,,Mission Hill,0,,2,1.0,75.0,5.0,42.334359,-71.102092,2016-04-14 19:28:00.719372
25418,25188,Entire home/apt,,West End,4,5.0,2,1.0,229.0,3.0,42.364945,-71.067668,2016-04-14 19:27:54.288558
10138904,51673899,Entire home/apt,,Beacon Hill,4,5.0,8,3.0,330.0,2.0,42.35642,-71.074008,2016-04-14 19:27:30.770435
7499960,9529655,Entire home/apt,,Fenway,8,4.5,1,1.0,228.0,14.0,42.350624,-71.09486,2016-04-14 19:26:46.946974
9572941,36388924,Private room,,Allston,3,5.0,1,1.0,69.0,1.0,42.350813,-71.14172,2016-04-14 19:26:07.135498
4287348,22257404,Private room,,South Boston,38,4.5,1,1.0,90.0,1.0,42.330784,-71.046889,2016-04-14 19:26:01.311211
12208806,31035017,Entire home/apt,,Fenway,0,,2,0.0,165.0,1.0,42.344274,-71.088556,2016-04-14 19:25:15.657169
10186477,184232,Private room,,Fenway,3,5.0,2,1.0,50.0,1.0,42.346264,-71.10296,2016-04-14 19:25:08.497146
9237653,20684898,Private room,,South Boston,10,4.5,2,1.0,110.0,2.0,42.332484,-71.049417,2016-04-14 19:24:49.333473
5026613,20060949,Private room,,South Boston,40,5.0,2,1.0,105.0,1.0,42.337503,-71.047781,2016-04-14 19:24:31.889398
66288,324630,Entire home/apt,,Mission Hill,378,4.0,2,0.0,75.0,,42.332152,-71.106742,2016-04-14 19:24:06.027775
6317304,4170200,Entire home/apt,,Fenway,27,4.5,2,1.0,145.0,1.0,42.347733,-71.103476,2016-04-14 19:24:02.509608
11498416,25938928,Entire home/apt,,East Boston,7,4.0,2,1.0,60.0,2.0,42.367772,-71.037887,2016-04-14 19:23:52.179898
1487970,7956873,Entire home/apt,,Back Bay,2,,2,1.0,205.0,2.0,42.346649,-71.08689,2016-04-14 19:09:14.672154
9844242,50688211,Entire home/apt,,Beacon Hill,6,4.5,2,1.0,103.0,2.0,42.360857,-71.065944,2016-04-14 19:08:59.187891
10311094,51673899,Entire home/apt,,Beacon Hill,2,,8,3.0,399.0,2.0,42.356878,-71.073958,2016-04-14 19:08:45.562899
6676364,13382900,Private room,,Longwood Medical Area,103,5.0,1,1.0,84.0,1.0,42.338869,-71.1071,2016-04-14 19:08:39.596573
8400275,324630,Entire home/apt,,Fenway,41,4.0,3,0.0,99.0,,42.345691,-71.093266,2016-04-14 19:08:28.637921
10434883,48494513,Entire home/apt,,Beacon Hill,1,,2,0.0,209.0,2.0,42.357218,-71.070502,2016-04-14 19:07:42.186546
2429961,3137257,Entire home/apt,,Back Bay,7,4.0,3,1.0,180.0,3.0,42.35086,-71.080994,2016-04-14 19:06:35.605976
5918205,5151600,Entire home/apt,,North End,12,5.0,2,1.0,180.0,2.0,42.365836,-71.056965,2016-04-14 19:06:17.054525
6187208,21407622,Entire home/apt,,West End,10,5.0,4,1.0,225.0,2.0,42.361446,-71.068548,2016-04-14 19:06:10.543443
4261784,17814164,Private room,,South Boston,3,4.5,2,1.0,98.0,1.0,42.336855,-71.046938,2016-04-14 19:05:00.947817
2722165,13929879,Entire home/apt,,Chinatown,35,4.5,4,2.0,270.0,2.0,42.350194,-71.062056,2016-04-14 19:04:44.959019
4636975,9077069,Entire home/apt,,Allston,34,4.5,6,2.0,100.0,,42.354048,-71.130032,2016-04-14 19:04:14.924737
6689219,35011464,Entire home/apt,,Brighton,0,,4,4.0,180.0,1.0,42.362333,-71.141721,2016-04-14 19:04:11.374283
798957,1651480,Entire home/apt,,South End,168,5.0,4,2.0,225.0,3.0,42.341213,-71.075711,2016-04-14 19:04:01.217525
7476936,5366301,Private room,,Dorchester,3,4.5,2,1.0,100.0,1.0,42.31676,-71.041056,2016-04-14 19:03:52.405584
9473811,18604433,Entire home/apt,,Allston,2,,5,2.0,200.0,2.0,42.354171,-71.127539,2016-04-14 19:03:46.231714
6276572,11071285,Entire home/apt,,South End,10,5.0,2,1.0,189.0,2.0,42.340987,-71.079728,2016-04-14 19:03:05.214937
5676025,9240847,Entire home/apt,,Jamaica Plain,11,4.0,5,2.0,140.0,1.0,42.322747,-71.110334,2016-04-14 19:02:40.671725
1994683,3839373,Private room,,Jamaica Plain,131,4.5,3,1.0,80.0,2.0,42.312918,-71.105363,2016-04-14 19:02:23.358350
