room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9711819,9371053.0,Entire home/apt,,Allston,0,,,3.0,175.0,7.0,42.363882,-71.129874,2015-12-14 05:10:03.969572
7325063,30283594.0,Entire home/apt,,Fenway,0,,3.0,1.0,129.0,3.0,42.343496,-71.097449,2015-12-14 05:09:58.667793
3021862,15399126.0,Private room,,Jamaica Plain,0,,2.0,1.0,90.0,1.0,42.290989,-71.112737,2015-12-14 05:09:54.459962
6551454,29224952.0,Entire home/apt,,Brighton,0,,2.0,3.0,150.0,3.0,42.339393,-71.146918,2015-12-14 05:09:47.087002
8422876,21851356.0,Private room,,Bay Village,11,4.5,2.0,1.0,169.0,2.0,42.348807,-71.068128,2015-12-14 05:09:44.143408
7921131,12243051.0,Entire home/apt,,South End,8,4.5,4.0,1.0,170.0,3.0,42.344879,-71.063129,2015-12-14 05:09:30.565028
6742905,324630.0,Entire home/apt,,Beacon Hill,51,3.5,3.0,0.0,99.0,1.0,42.361087,-71.06532,2015-12-14 05:09:25.612291
6296656,9410008.0,Entire home/apt,,South Boston,31,5.0,5.0,2.0,199.0,,42.33418,-71.044261,2015-12-14 05:09:08.563116
4787643,17643780.0,Private room,,West End,0,,2.0,1.0,75.0,10.0,42.365651,-71.068278,2015-12-14 05:08:56.851130
8934599,26956083.0,Entire home/apt,,Brighton,0,,,3.0,299.0,2.0,42.359296,-71.140197,2015-12-14 05:08:35.166825
93505,501427.0,Entire home/apt,,Charlestown,147,4.5,4.0,2.0,199.0,3.0,42.377579,-71.063764,2015-12-14 05:08:23.988654
4278067,9653086.0,Entire home/apt,,South End,27,4.5,4.0,0.0,175.0,2.0,42.340669,-71.076899,2015-12-14 05:08:10.489324
2769450,13822322.0,Entire home/apt,,Dorchester,0,,3.0,1.0,280.0,1.0,42.299252,-71.070575,2015-12-14 05:08:06.759138
9697035,27842033.0,Private room,,Dorchester,0,,2.0,1.0,85.0,1.0,42.308219,-71.069406,2015-12-14 05:07:32.630240
2723274,8790904.0,Entire home/apt,,Back Bay,9,5.0,2.0,2.0,250.0,2.0,42.349516,-71.071012,2015-12-14 05:07:25.917944
5380160,27889531.0,Entire home/apt,,South Boston,10,4.5,2.0,1.0,195.0,2.0,42.340527,-71.048662,2015-12-14 05:07:04.593473
54944,25188.0,Entire home/apt,,Beacon Hill,7,4.0,2.0,1.0,185.0,2.0,42.356823,-71.070244,2015-12-14 05:07:02.129935
6146559,22546682.0,Private room,,East Boston,14,5.0,2.0,1.0,70.0,2.0,42.367837,-71.04148,2015-12-14 05:06:53.757546
5075267,814298.0,Entire home/apt,,South End,23,4.0,2.0,0.0,100.0,2.0,42.340795,-71.080704,2015-12-14 05:06:49.021646
5899031,30638417.0,Entire home/apt,,Back Bay,17,4.5,4.0,2.0,350.0,4.0,42.352642,-71.076145,2015-12-14 05:06:23.784041
6197950,32141135.0,Entire home/apt,,North End,8,5.0,,2.0,600.0,2.0,42.362642,-71.054078,2015-12-14 05:05:26.983046
9180947,47618394.0,Entire home/apt,,Back Bay,3,5.0,2.0,0.0,145.0,2.0,42.354912,-71.076426,2015-12-14 05:05:19.670701
7842550,11341278.0,Private room,,Dorchester,22,3.5,2.0,1.0,45.0,1.0,42.307605,-71.079769,2015-12-14 05:05:08.386629
5762866,29899026.0,Entire home/apt,,Allston,5,5.0,4.0,1.0,130.0,2.0,42.358118,-71.130914,2015-12-14 05:05:00.736739
6974627,1299837.0,Entire home/apt,,North End,3,5.0,2.0,1.0,165.0,2.0,42.364884,-71.054495,2015-12-14 05:04:58.764406
3642313,18388609.0,Private room,,Brighton,9,5.0,2.0,1.0,53.0,30.0,42.338765,-71.152474,2015-12-14 05:04:51.735618
849408,4434391.0,Entire home/apt,,Roslindale,29,4.5,,3.0,289.0,4.0,42.28882,-71.13951,2015-12-14 05:04:47.492742
4409653,9419684.0,Entire home/apt,,Mission Hill,1,1.0,4.0,1.0,246.0,3.0,42.333474,-71.100165,2015-12-14 05:04:35.160136
3069104,11492081.0,Entire home/apt,,Beacon Hill,11,4.5,3.0,1.0,180.0,1.0,42.360751,-71.062935,2015-12-14 05:04:24.955591
4574921,11272292.0,Entire home/apt,,Downtown,49,4.0,,2.0,250.0,2.0,42.356232,-71.060672,2015-12-14 05:04:19.077173
9346513,28358624.0,Entire home/apt,,Back Bay,0,,2.0,1.0,325.0,3.0,42.353578,-71.076027,2015-12-14 05:04:12.117702
3889476,6595410.0,Entire home/apt,,South Boston Waterfront,47,4.5,2.0,0.0,105.0,3.0,42.34953,-71.049358,2015-12-14 05:04:10.920647
3410087,17194624.0,Entire home/apt,,Back Bay,53,4.0,2.0,0.0,119.0,2.0,42.352727,-71.081936,2015-12-14 05:03:54.291081
8531425,44920221.0,Entire home/apt,,Allston,0,,4.0,1.0,145.0,1.0,42.347798,-71.132112,2015-12-14 05:03:50.953963
5259996,71783.0,Entire home/apt,,Fenway,0,,3.0,2.0,400.0,15.0,42.350283,-71.094239,2015-12-14 05:02:48.861009
6066455,9410008.0,Entire home/apt,,Beacon Hill,26,5.0,,4.0,600.0,,42.360433,-71.071343,2015-12-14 05:02:30.910015
3827568,16442921.0,Private room,,Dorchester,7,4.0,1.0,1.0,55.0,3.0,42.318566,-71.05444,2015-12-14 05:02:23.711197
4662140,21972667.0,Private room,,Back Bay,2,,2.0,1.0,170.0,1.0,42.346134,-71.07914,2015-12-14 05:02:20.513205
8757949,45928122.0,Private room,,East Boston,9,5.0,2.0,1.0,66.0,1.0,42.372409,-71.038678,2015-12-14 05:02:19.200440
705919,508268.0,Entire home/apt,,South End,24,5.0,3.0,1.0,199.0,3.0,42.343129,-71.081141,2015-12-14 05:02:02.009369
6467991,5408506.0,Private room,,Fenway,0,,2.0,1.0,125.0,25.0,42.350193,-71.094091,2015-12-14 05:01:32.435834
7927765,18479599.0,Private room,,Dorchester,0,,1.0,1.0,90.0,,42.324265,-71.059632,2015-12-14 05:01:16.190505
4128326,21415171.0,Entire home/apt,,East Boston,1,4.0,3.0,2.0,120.0,1.0,42.378273,-71.034163,2015-12-14 05:01:14.413351
1403408,255183.0,Private room,,Roxbury,12,5.0,2.0,1.0,95.0,2.0,42.324648,-71.088694,2015-12-14 05:01:06.814899
7680519,40336204.0,Private room,,East Boston,10,3.5,2.0,1.0,80.0,1.0,42.377227,-71.040444,2015-12-14 05:01:02.978213
8085906,30283594.0,Entire home/apt,,Fenway,0,,3.0,1.0,129.0,3.0,42.345223,-71.100569,2015-12-14 05:01:01.636176
6613472,34609479.0,Private room,,Hyde Park,0,,2.0,1.0,70.0,1.0,42.268955,-71.103835,2015-12-14 05:00:54.499654
9935751,42410898.0,Entire home/apt,,Back Bay,0,,3.0,1.0,239.0,1.0,42.351841,-71.083765,2015-12-14 05:00:47.482859
6725993,635157.0,Private room,,Jamaica Plain,7,5.0,2.0,1.0,75.0,2.0,42.297916,-71.111019,2015-12-14 05:00:39.471008
1494726,7506913.0,Private room,,Roslindale,7,4.5,2.0,1.0,89.0,3.0,42.275716,-71.130139,2015-12-14 05:00:34.718852
4183161,21702281.0,Entire home/apt,,Jamaica Plain,17,4.5,4.0,3.0,255.0,1.0,42.31997,-71.10298,2015-12-14 05:00:33.028636
3967611,1680669.0,Entire home/apt,,North End,4,4.5,3.0,1.0,225.0,2.0,42.362629,-71.053733,2015-12-14 05:00:21.183758
7474855,22348222.0,Entire home/apt,,Back Bay,0,,2.0,0.0,122.0,7.0,42.34951,-71.08205,2015-12-14 05:00:18.918289
8335652,30283594.0,Entire home/apt,,Fenway,0,,5.0,2.0,169.0,3.0,42.34496,-71.101833,2015-12-14 05:00:10.104558
7194793,9969381.0,Private room,,Back Bay,11,5.0,2.0,1.0,120.0,2.0,42.350472,-71.087479,2015-12-14 04:59:55.369073
7920759,41766550.0,Entire home/apt,,Beacon Hill,0,,4.0,2.0,275.0,2.0,42.358346,-71.066928,2015-12-14 04:59:53.306980
7735518,26956083.0,Private room,,Brighton,1,5.0,4.0,1.0,189.0,2.0,42.360446,-71.141642,2015-12-14 04:59:31.640964
8563141,43959997.0,Entire home/apt,,Downtown,6,5.0,4.0,2.0,265.0,1.0,42.356346,-71.061379,2015-12-14 04:59:26.582641
8172380,28820575.0,Private room,,Roxbury,16,4.5,2.0,1.0,55.0,1.0,42.329541,-71.093128,2015-12-14 04:59:15.677171
7776758,40527236.0,Private room,,Fenway,1,4.0,1.0,1.0,50.0,6.0,42.34263,-71.099015,2015-12-14 04:59:09.539561
7840797,4962900.0,Entire home/apt,,Back Bay,2,4.5,,3.0,999.0,,42.346044,-71.080175,2015-12-14 04:58:58.740762
5940928,30841304.0,Shared room,,Allston,7,4.0,5.0,1.0,99.0,,42.348306,-71.137852,2015-12-14 04:58:52.244314
18711,71783.0,Entire home/apt,,Dorchester,17,4.5,,3.0,126.0,6.0,42.323286,-71.062103,2015-12-14 04:58:48.598252
332225,1693497.0,Entire home/apt,,Jamaica Plain,39,5.0,4.0,4.0,379.0,1.0,42.291288,-71.11396,2015-12-14 04:58:41.488739
6603827,34552909.0,Private room,,Roslindale,4,5.0,1.0,1.0,54.0,5.0,42.28217,-71.116484,2015-12-14 04:58:39.799328
9208166,47889779.0,Entire home/apt,,South End,4,5.0,,2.0,234.0,1.0,42.34509,-71.063811,2015-12-14 04:58:35.801129
8782991,17818556.0,Entire home/apt,,South End,4,5.0,2.0,1.0,100.0,1.0,42.341987,-71.079702,2015-12-14 04:58:34.050310
4503393,16442921.0,Private room,,Dorchester,3,2.5,1.0,1.0,55.0,3.0,42.318126,-71.054515,2015-12-14 04:58:16.358873
6939416,36385548.0,Private room,,North End,7,5.0,1.0,1.0,86.0,30.0,42.364821,-71.051779,2015-12-14 04:58:12.097293
6810723,22348222.0,Entire home/apt,,South End,0,,2.0,0.0,135.0,7.0,42.343665,-71.075622,2015-12-14 04:58:07.917234
7453797,33821241.0,Entire home/apt,,Back Bay,16,5.0,2.0,0.0,190.0,2.0,42.35091,-71.089151,2015-12-14 04:57:18.816217
179245,119019.0,Private room,,Dorchester,33,4.5,2.0,1.0,70.0,1.0,42.299154,-71.058786,2015-12-14 04:57:12.746685
1422837,7658308.0,Entire home/apt,,South End,58,4.5,2.0,0.0,185.0,1.0,42.343127,-71.071594,2015-12-14 04:57:06.256499
7917292,12243051.0,Entire home/apt,,Downtown,2,5.0,,1.0,208.0,2.0,42.349385,-71.058174,2015-12-14 04:57:02.758102
6793945,35331408.0,Entire home/apt,,South End,9,5.0,4.0,1.0,195.0,2.0,42.336327,-71.074157,2015-12-14 04:56:51.003211
5903001,30658962.0,Entire home/apt,,Back Bay,10,4.0,4.0,1.0,325.0,3.0,42.350338,-71.077895,2015-12-14 04:56:48.740399
7560422,14905257.0,Private room,,Jamaica Plain,2,4.0,2.0,1.0,75.0,1.0,42.315056,-71.115137,2015-12-14 04:56:41.702130
8228903,28820575.0,Private room,,Roxbury,7,4.5,2.0,1.0,50.0,1.0,42.331038,-71.094559,2015-12-14 04:56:36.131254
2694019,12985903.0,Entire home/apt,,South End,25,4.5,3.0,1.0,250.0,1.0,42.346674,-71.075498,2015-12-14 04:56:34.114006
8390793,44203099.0,Private room,,North End,0,,1.0,1.0,50.0,2.0,42.366523,-71.056792,2015-12-14 04:56:25.269576
6686331,24950258.0,Private room,,Mission Hill,6,4.5,1.0,1.0,35.0,1.0,42.332818,-71.106507,2015-12-14 04:56:21.277795
7798185,41045410.0,Entire home/apt,,Back Bay,4,5.0,2.0,1.0,200.0,3.0,42.351474,-71.083254,2015-12-14 04:56:20.143236
8954400,4140161.0,Entire home/apt,,Back Bay,1,,4.0,1.0,200.0,1.0,42.350648,-71.070652,2015-12-14 04:56:18.888376
6823828,35742537.0,Entire home/apt,,Downtown,26,4.5,4.0,1.0,130.0,2.0,42.356101,-71.062128,2015-12-14 04:56:14.814902
3434614,17311095.0,Entire home/apt,,North End,15,5.0,3.0,1.0,225.0,2.0,42.36421,-71.054077,2015-12-14 04:56:11.463454
1171578,3765817.0,Private room,,Brighton,83,5.0,2.0,1.0,99.0,1.0,42.35384,-71.167947,2015-12-14 04:55:56.376714
1878903,7015660.0,Entire home/apt,,Back Bay,22,5.0,,2.0,224.0,3.0,42.347301,-71.076286,2015-12-14 04:55:49.752652
4518380,10478250.0,Entire home/apt,,Bay Village,12,4.5,,2.0,188.0,1.0,42.348265,-71.069991,2015-12-14 04:55:47.597230
5267396,5160525.0,Entire home/apt,,Mission Hill,33,4.5,2.0,1.0,170.0,2.0,42.331631,-71.095887,2015-12-14 04:55:41.548417
8533464,7862854.0,Entire home/apt,,Back Bay,11,5.0,3.0,1.0,239.0,2.0,42.351514,-71.07738,2015-12-14 04:55:32.678519
1815326,9508341.0,Private room,,Brighton,101,4.5,2.0,1.0,99.0,1.0,42.355088,-71.16242,2015-12-14 04:54:58.505524
8445701,27849429.0,Entire home/apt,,Beacon Hill,12,5.0,2.0,0.0,150.0,1.0,42.359962,-71.063214,2015-12-14 04:54:31.087149
6957702,8077502.0,Entire home/apt,,Back Bay,5,4.5,4.0,2.0,420.0,1.0,42.351285,-71.077722,2015-12-14 04:54:27.244936
7694771,22867404.0,Entire home/apt,,Chinatown,2,5.0,5.0,1.0,375.0,1.0,42.350232,-71.062503,2015-12-14 04:54:23.061720
9925079,15201045.0,Entire home/apt,,South End,0,,,2.0,400.0,1.0,42.341515,-71.063767,2015-12-14 04:53:59.080042
5771644,10128795.0,Entire home/apt,,South End,5,5.0,4.0,1.0,319.0,2.0,42.342496,-71.075694,2015-12-14 04:53:45.558773
9477708,40020743.0,Private room,,South Boston,0,,2.0,1.0,145.0,1.0,42.336836,-71.043419,2015-12-14 04:53:37.433366
5025015,25932315.0,Entire home/apt,,Jamaica Plain,60,4.0,5.0,3.0,175.0,1.0,42.325049,-71.106296,2015-12-14 04:53:30.957259
7161203,18517776.0,Private room,,Roxbury,0,,1.0,1.0,25.0,14.0,42.317109,-71.080779,2015-12-14 04:53:27.764080
