room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7178959,25149387,Entire home/apt,,Allston,0,,4.0,1.0,123.0,1.0,42.352832,-71.130917,2015-07-07 21:36:00.821
7179073,37609300,Shared room,,Brighton,0,,2.0,1.0,104.0,1.0,42.342764,-71.146377,2015-07-07 15:29:12.176
7179242,31476113,Private room,,Allston,0,,2.0,1.0,97.0,1.0,42.351616,-71.139692,2015-07-07 22:30:39.701
7185881,16052189,Private room,,Hyde Park,0,,1.0,1.0,38.0,7.0,42.236889,-71.132912,2015-07-07 21:55:24.953
7193633,5919272,Entire home/apt,,North End,0,,,3.0,780.0,2.0,42.362613,-71.051183,2015-07-07 14:21:08.906
7194897,28829169,Private room,,Brighton,0,,,,97.0,1.0,42.349628,-71.161373,2015-07-07 13:44:29.663
3353,4240,Private room,,Allston,23,4.5,1.0,1.0,45.0,7.0,42.355017,-71.12759,2015-07-07 14:02:42.022
5453,8021,Private room,,Jamaica Plain,53,5.0,2.0,1.0,195.0,1.0,42.322109,-71.109265,2015-07-07 15:55:02.943
5506,8229,Private room,,Roxbury,32,4.5,,,188.0,3.0,42.329809,-71.095595,2015-07-07 17:49:04.247
6695,8229,Entire home/apt,,Roxbury,42,5.0,,,253.0,3.0,42.329941,-71.093505,2015-07-07 14:31:23.129
6976,16701,Private room,,Roslindale,32,5.0,1.0,1.0,84.0,3.0,42.292438,-71.135765,2015-07-07 15:25:47.117
8789,26988,Entire home/apt,,Downtown,8,4.5,2.0,1.0,201.0,5.0,42.359187,-71.062651,2015-07-07 16:12:53.378
8792,26988,Entire home/apt,,Downtown,17,4.5,3.0,1.0,260.0,,42.358596,-71.061446,2015-07-07 16:18:21.516
8865,26988,Private room,,Mission Hill,8,4.0,,,130.0,1.0,42.329356,-71.100091,2015-07-07 18:54:23.326
9273,4804,Entire home/apt,,East Boston,8,5.0,,,292.0,3.0,42.364608,-71.029021,2015-07-07 15:08:55.178
9765,25188,Entire home/apt,,South End,7,4.5,2.0,,285.0,1.0,42.342594,-71.079421,2015-07-07 14:27:55.357
9824,25188,Entire home/apt,,Back Bay,19,4.0,,,242.0,2.0,42.349496,-71.085954,2015-07-07 16:35:30.677
9827,25188,Entire home/apt,,Downtown,8,4.5,,,376.0,3.0,42.352838,-71.063167,2015-07-07 16:41:08.099
9855,25188,Entire home/apt,,Fenway,3,4.5,3.0,1.0,331.0,4.0,42.343371,-71.098708,2015-07-07 17:41:21.975
9857,25188,Entire home/apt,,Beacon Hill,15,4.5,,,467.0,2.0,42.356271,-71.074377,2015-07-07 17:46:14.270
9858,25188,Entire home/apt,,Back Bay,1,,,,584.0,2.0,42.344471,-71.081786,2015-07-07 17:49:12.966
9860,25188,Entire home/apt,,Beacon Hill,16,4.0,,,298.0,2.0,42.356071,-71.072691,2015-07-07 17:53:57.136
9870,25188,Entire home/apt,,South End,6,4.0,2.0,1.0,311.0,2.0,42.344227,-71.077878,2015-07-07 18:16:19.685
9903,25188,Entire home/apt,,Mission Hill,0,,2.0,1.0,337.0,3.0,42.335296,-71.101462,2015-07-07 19:18:56.787
10730,26988,Entire home/apt,,Downtown,17,4.5,,,227.0,6.0,42.358403,-71.06185,2015-07-07 22:29:28.620
10758,38440,Private room,,Allston,1,2.0,1.0,1.0,149.0,1.0,42.353449,-71.131797,2015-07-07 13:19:51.730
10807,38440,Private room,,Allston,1,3.0,2.0,1.0,104.0,1.0,42.354123,-71.130486,2015-07-07 15:03:54.052
10809,38440,Private room,,Allston,4,4.0,,,130.0,1.0,42.354788,-71.132088,2015-07-07 15:08:58.756
10810,38440,Entire home/apt,,Allston,0,,5.0,2.0,110.0,4.0,42.353359,-71.130344,2015-07-07 15:10:34.847
12356,26988,Entire home/apt,,Beacon Hill,2,4.5,3.0,1.0,273.0,5.0,42.358988,-71.063247,2015-07-07 15:34:59.699
12441,25188,Entire home/apt,,Beacon Hill,15,4.0,,3.0,636.0,3.0,42.355165,-71.072211,2015-07-07 18:39:43.424
